Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
HSS2.875X.250,HSS,0.000193,,,7.02,7.072e-09,7.072e-09,1.9352e-06,1.9352e-06,12.78
HSS2.875X.203,HSS,0.000159,,,5.8,6.032e-09,6.032e-09,1.6564e-06,1.6564e-06,10.56
HSS2.875X.188,HSS,0.000148,,,5.4,5.616e-09,5.616e-09,1.54324e-06,1.54324e-06,9.83
HSS2.875X.125,HSS,0.000101,,,3.67,3.98528e-09,3.98528e-09,1.09388e-06,1.09388e-06,6.68
HSS2.5X.250,HSS,0.000166,,,6.01,4.4928e-09,4.4928e-09,1.41368e-06,1.41368e-06,10.94
HSS2.5X.188,HSS,0.000127,,,4.65,3.5984e-09,3.5984e-09,1.13488e-06,1.13488e-06,8.46
HSS2.5X.125,HSS,8.69e-05,,,3.17,2.57504e-09,2.57504e-09,8.118e-07,8.118e-07,5.77
HSS2.375X.250,HSS,0.000157,,,5.68,3.7856e-09,3.7856e-09,1.25624e-06,1.25624e-06,10.34
HSS2.375X.218,HSS,0.000139,,,5.03,3.42784e-09,3.42784e-09,1.13816e-06,1.13816e-06,9.15
HSS2.375X.188,HSS,0.00012,,,4.4,3.04928e-09,3.04928e-09,1.01188e-06,1.01188e-06,8.01
HSS2.375X.154,HSS,0.0001,,,3.66,2.60832e-09,2.60832e-09,8.6592e-07,8.6592e-07,6.66
HSS2.375X.125,HSS,8.23e-05,,,3.01,2.19232e-09,2.19232e-09,7.2652e-07,7.2652e-07,5.48
HSS1.9X.188,HSS,9.43e-05,,,3.44,1.4768e-09,1.4768e-09,6.1336e-07,6.1336e-07,6.26
HSS1.9X.145,HSS,7.49e-05,,,2.72,1.21888e-09,1.21888e-09,5.0676e-07,5.0676e-07,4.95
HSS1.9X.120,HSS,6.24e-05,,,2.28,1.04416e-09,1.04416e-09,4.3296e-07,4.3296e-07,4.15
HSS1.66X.140,HSS,6.25e-05,,,2.27,7.6544e-10,7.6544e-10,3.6408e-07,3.6408e-07,4.13
