Shape,Shape_Type,Area (m2),Depth (m),Width (m),Weight (kg/m),Ix (m4),Iy (m4),Plastic Mod Xp (m3),Plastic Mod Yp (m3),Cost per Meter (usd)
HSS7.5X.375,HSS,0.000784,,,28.56,0.000000208832,0.000000208832,0.000021976,0.000021976,51.98
HSS7.5X.312,HSS,0.000659,,,23.97,0.000000178464,0.000000178464,0.000018696,0.000018696,43.63
HSS7.5X.250,HSS,0.000532,,,19.38,0.000000146432,0.000000146432,0.0000153668,0.0000153668,35.27
HSS7.5X.188,HSS,0.0004,,,14.7,0.000000111904,0.000000111904,0.0000117588,0.0000117588,26.75
HSS7X.500,HSS,0.000955,,,34.74,0.000000212992,0.000000212992,0.000023944,0.000023944,63.23
HSS7X.375,HSS,0.000729,,,26.56,0.000000168064,0.000000168064,0.000019024,0.000019024,48.34
HSS7X.312,HSS,0.000613,,,22.31,0.000000143936,0.000000143936,0.0000162032,0.0000162032,40.6
HSS7X.250,HSS,0.000495,,,18.04,0.000000118144,0.000000118144,0.0000133004,0.0000133004,32.83
HSS7X.188,HSS,0.000373,,,13.69,0.000000090272,0.000000090272,0.0000101844,0.0000101844,24.92
HSS7X.125,HSS,0.000251,,,9.19,0.000000061984,0.000000061984,0.00000697,0.00000697,16.73
HSS6.875X.375,HSS,0.000716,,,26.06,0.000000158912,0.000000158912,0.000018204,0.000018204,47.43
HSS6.875X.312,HSS,0.000602,,,21.89,0.000000136032,0.000000136032,0.0000155964,0.0000155964,39.84
HSS6.875X.250,HSS,0.000486,,,17.71,0.000000111488,0.000000111488,0.0000128084,0.0000128084,32.23
HSS6.875X.188,HSS,0.000366,,,13.44,0.000000085696,0.000000085696,0.0000098236,0.0000098236,24.46
HSS6.625X.500,HSS,0.0009,,,32.74,0.000000178464,0.000000178464,0.00002132,0.00002132,59.59
HSS6.625X.432,HSS,0.000786,,,28.6,0.000000158912,0.000000158912,0.00001886,0.00001886,52.05
HSS6.625X.375,HSS,0.000688,,,25.06,0.00000014144,0.00000014144,0.000016892,0.000016892,45.61
HSS6.625X.312,HSS,0.000579,,,21.06,0.000000121056,0.000000121056,0.0000144156,0.0000144156,38.33
HSS6.625X.280,HSS,0.00052,,,18.99,0.000000109824,0.000000109824,0.0000130544,0.0000130544,34.56
HSS6.625X.250,HSS,0.000468,,,17.04,0.000000099424,0.000000099424,0.0000118408,0.0000118408,31.01
HSS6.625X.188,HSS,0.000353,,,12.94,0.000000076544,0.000000076544,0.0000090856,0.0000090856,23.55
HSS6.625X.125,HSS,0.000237,,,8.69,0.000000052416,0.000000052416,0.0000062156,0.0000062156,15.82
HSS6X.500,HSS,0.000809,,,29.4,0.000000129792,0.000000129792,0.000017056,0.000017056,53.51
HSS6X.375,HSS,0.00062,,,22.55,0.000000103168,0.000000103168,0.0000135792,0.0000135792,41.04
HSS6X.312,HSS,0.000522,,,18.97,0.000000088608,0.000000088608,0.0000116604,0.0000116604,34.53
HSS6X.280,HSS,0.000469,,,17.12,0.000000080288,0.000000080288,0.000010578,0.000010578,31.16
HSS6X.250,HSS,0.000422,,,15.37,0.000000073216,0.000000073216,0.0000096104,0.0000096104,27.97
HSS6X.188,HSS,0.000318,,,11.68,0.00000005616,0.00000005616,0.0000073964,0.0000073964,21.26
HSS6X.125,HSS,0.000214,,,7.85,0.0000000386048,0.0000000386048,0.0000050676,0.0000050676,14.29
HSS5.563X.500,HSS,0.000745,,,27.06,0.000000101504,0.000000101504,0.0000143828,0.0000143828,49.25
HSS5.563X.375,HSS,0.000572,,,20.8,0.00000008112,0.00000008112,0.0000115128,0.0000115128,37.86
HSS5.563X.258,HSS,0.000401,,,14.63,0.000000059072,0.000000059072,0.0000083968,0.0000083968,26.63
HSS5.563X.188,HSS,0.000295,,,10.8,0.000000044512,0.000000044512,0.000006314,0.000006314,19.66
HSS5.563X.134,HSS,0.000212,,,7.78,0.0000000326144,0.0000000326144,0.0000046248,0.0000046248,14.16
HSS5.5X.500,HSS,0.000736,,,26.73,0.00000009776,0.00000009776,0.000014022,0.000014022,48.65
HSS5.5X.375,HSS,0.000565,,,20.55,0.000000078208,0.000000078208,0.0000112176,0.0000112176,37.4
HSS5.5X.258,HSS,0.000397,,,14.46,0.000000056992,0.000000056992,0.0000082,0.0000082,26.32
HSS5X.500,HSS,0.000662,,,24.05,0.000000071552,0.000000071552,0.0000112832,0.0000112832,43.77
HSS5X.375,HSS,0.00051,,,18.54,0.000000057824,0.000000057824,0.000009102,0.000009102,33.74
HSS5X.312,HSS,0.00043,,,15.64,0.00000004992,0.00000004992,0.0000078556,0.0000078556,28.46
HSS5X.258,HSS,0.000359,,,13.08,0.000000042432,0.000000042432,0.0000066912,0.0000066912,23.81
HSS5X.250,HSS,0.000349,,,12.69,0.0000000413504,0.0000000413504,0.0000065108,0.0000065108,23.1
HSS5X.188,HSS,0.000264,,,9.67,0.0000000319904,0.0000000319904,0.0000050512,0.0000050512,17.6
HSS5X.125,HSS,0.000178,,,6.51,0.0000000220896,0.0000000220896,0.0000034768,0.0000034768,11.85
HSS4.5X.375,HSS,0.000455,,,16.54,0.0000000410592,0.0000000410592,0.0000071996,0.0000071996,30.1
HSS4.5X.337,HSS,0.000412,,,15,0.0000000377312,0.0000000377312,0.0000066092,0.0000066092,27.3
HSS4.5X.237,HSS,0.000296,,,10.8,0.0000000282464,0.0000000282464,0.0000049528,0.0000049528,19.66
HSS4.5X.188,HSS,0.000236,,,8.67,0.0000000230464,0.0000000230464,0.0000040344,0.0000040344,15.78
HSS4.5X.125,HSS,0.00016,,,5.85,0.0000000159744,0.0000000159744,0.0000028044,0.0000028044,10.65
HSS4X.313,HSS,0.000339,,,12.34,0.0000000244192,0.0000000244192,0.0000048052,0.0000048052,22.46
HSS4X.250,HSS,0.000276,,,10,0.0000000204256,0.0000000204256,0.000004018,0.000004018,18.2
HSS4X.237,HSS,0.000261,,,9.53,0.0000000194688,0.0000000194688,0.0000038376,0.0000038376,17.34
HSS4X.226,HSS,0.00025,,,9.12,0.00000001872,0.00000001872,0.00000369,0.00000369,16.6
HSS4X.220,HSS,0.000244,,,8.89,0.0000000183456,0.0000000183456,0.0000036244,0.0000036244,16.18
HSS4X.188,HSS,0.000209,,,7.66,0.0000000159328,0.0000000159328,0.0000031488,0.0000031488,13.94
HSS4X.125,HSS,0.000142,,,5.18,0.0000000111072,0.0000000111072,0.0000021976,0.0000021976,9.43
HSS3.5X.313,HSS,0.000293,,,10.66,0.0000000158496,0.0000000158496,0.0000035752,0.0000035752,19.4
HSS3.5X.300,HSS,0.000282,,,10.26,0.0000000153504,0.0000000153504,0.0000034604,0.0000034604,18.67
HSS3.5X.250,HSS,0.000239,,,8.69,0.0000000133536,0.0000000133536,0.0000030012,0.0000030012,15.82
HSS3.5X.216,HSS,0.000208,,,7.58,0.0000000118144,0.0000000118144,0.0000026732,0.0000026732,13.8
HSS3.5X.203,HSS,0.000197,,,7.15,0.000000011232,0.000000011232,0.0000025256,0.0000025256,13.01
HSS3.5X.188,HSS,0.000182,,,6.66,0.0000000104832,0.0000000104832,0.0000023616,0.0000023616,12.12
HSS3.5X.125,HSS,0.000123,,,4.51,0.0000000073632,0.0000000073632,0.0000016564,0.0000016564,8.21
HSS3X.250,HSS,0.000203,,,7.35,0.000000008112,0.000000008112,0.000002132,0.000002132,13.38
HSS3X.216,HSS,0.000177,,,6.43,0.0000000072384,0.0000000072384,0.0000019024,0.0000019024,11.7
HSS3X.203,HSS,0.000167,,,6.07,0.0000000069056,0.0000000069056,0.000001804,0.000001804,11.05
HSS3X.188,HSS,0.000154,,,5.65,0.000000006448,0.000000006448,0.0000016892,0.0000016892,10.28
HSS3X.152,HSS,0.000127,,,4.63,0.000000005408,0.000000005408,0.0000014186,0.0000014186,8.43
HSS3X.134,HSS,0.000112,,,4.11,0.0000000048256,0.0000000048256,0.00000126936,0.00000126936,7.48
HSS3X.125,HSS,0.000105,,,3.84,0.0000000045344,0.0000000045344,0.0000011972,0.0000011972,6.99
HSS2.875X.250,HSS,0.000193,,,7.02,0.000000007072,0.000000007072,0.0000019352,0.0000019352,12.78
HSS2.875X.203,HSS,0.000159,,,5.8,0.000000006032,0.000000006032,0.0000016564,0.0000016564,10.56
HSS2.875X.188,HSS,0.000148,,,5.4,0.000000005616,0.000000005616,0.00000154324,0.00000154324,9.83
HSS2.875X.125,HSS,0.000101,,,3.67,0.00000000398528,0.00000000398528,0.00000109388,0.00000109388,6.68
HSS2.5X.250,HSS,0.000166,,,6.01,0.0000000044928,0.0000000044928,0.00000141368,0.00000141368,10.94
HSS2.5X.188,HSS,0.000127,,,4.65,0.0000000035984,0.0000000035984,0.00000113488,0.00000113488,8.46
HSS2.5X.125,HSS,0.0000869,,,3.17,0.00000000257504,0.00000000257504,0.0000008118,0.0000008118,5.77
HSS2.375X.250,HSS,0.000157,,,5.68,0.0000000037856,0.0000000037856,0.00000125624,0.00000125624,10.34
HSS2.375X.218,HSS,0.000139,,,5.03,0.00000000342784,0.00000000342784,0.00000113816,0.00000113816,9.15
HSS2.375X.188,HSS,0.00012,,,4.4,0.00000000304928,0.00000000304928,0.00000101188,0.00000101188,8.01
HSS2.375X.154,HSS,0.0001,,,3.66,0.00000000260832,0.00000000260832,0.00000086592,0.00000086592,6.66
HSS2.375X.125,HSS,0.0000823,,,3.01,0.00000000219232,0.00000000219232,0.00000072652,0.00000072652,5.48
HSS1.9X.188,HSS,0.0000943,,,3.44,0.0000000014768,0.0000000014768,0.00000061336,0.00000061336,6.26
HSS1.9X.145,HSS,0.0000749,,,2.72,0.00000000121888,0.00000000121888,0.00000050676,0.00000050676,4.95
HSS1.9X.120,HSS,0.0000624,,,2.28,0.00000000104416,0.00000000104416,0.00000043296,0.00000043296,4.15
HSS1.66X.140,HSS,0.0000625,,,2.27,7.6544E-10,7.6544E-10,0.00000036408,0.00000036408,4.13
